lantaarnpaal_nummer,scheefstand,scheefstand_tov_kader,lat,lon,verschil_scheefstand_WP_kader,scheefstand_abs,scheefstand_tov_kader_abs,verschil_abs
HOUTEN18,0.7999999999999972,0.3999981805114139,52.015275,5.17218,0.40000181948858327,0.7999999999999972,0.3999981805114139,0.40000181948858327
HOUTEN19,-2.9000000000000057,-1.7999999558776039,52.015366,5.173309,-1.1000000441224018,2.9000000000000057,1.7999999558776039,1.1000000441224018
HOUTEN20,-5.200000000000003,-4.5000003016785675,52.015594,5.175002,-0.6999996983214354,5.200000000000003,4.5000003016785675,0.6999996983214354
HOUTEN21,3.5999999999999943,3.750001034904594,52.015581,5.176192,-0.1500010349045997,3.5999999999999943,3.750001034904594,0.1500010349045997
HOUTEN22,0.5,0.649996797290549,52.015379,5.175968,-0.14999679729054904,0.5,0.649996797290549,0.14999679729054904
HOUTEN23,-2.0999999999999943,-1.2500000116644747,52.015203,5.176252,-0.8499999883355196,2.0999999999999943,1.2500000116644747,0.8499999883355196
HOUTEN24,1.0,1.8500064779756349,52.014964,5.176544,-0.8500064779756349,1.0,1.8500064779756349,0.8500064779756349
HOUTEN25,2.0,3.0999992593319097,52.014793,5.176662,-1.0999992593319097,2.0,3.0999992593319097,1.0999992593319097
HOUTEN26,0.7999999999999972,1.7000017256495419,52.014595,5.176949,-0.9000017256495447,0.7999999999999972,1.7000017256495419,0.9000017256495447
HOUTEN27,0.09999999999999432,1.3499955916707695,52.014638,5.17902,-1.2499955916707752,0.09999999999999432,1.3499955916707695,1.2499955916707752
HOUTEN28,0.5,0.8999953420244606,52.014582,5.178905,-0.39999534202446063,0.5,0.8999953420244606,0.39999534202446063
HOUTEN29,1.7000000000000028,0.0,52.01452,5.178885,1.7000000000000028,1.7000000000000028,0.0,1.7000000000000028
HOUTEN30,2.0,2.8000038396706626,52.013502,5.179378,-0.8000038396706626,2.0,2.8000038396706626,0.8000038396706626
HOUTEN31,-3.0999999999999943,-2.1999999644474255,52.013646,5.179095,-0.9000000355525688,3.0999999999999943,2.1999999644474255,0.9000000355525688
HOUTEN32,0.9000000000000057,1.9000033390452313,52.013437,5.178907,-1.0000033390452256,0.9000000000000057,1.9000033390452313,1.0000033390452256
HOUTEN33,2.700000000000003,2.500008045116774,52.012908,5.177762,0.19999195488322874,2.700000000000003,2.500008045116774,0.19999195488322874
HOUTEN34,0.7000000000000028,1.749998774947179,52.013712,5.177035,-1.0499987749471762,0.7000000000000028,1.749998774947179,1.0499987749471762
HOUTEN35,3.700000000000003,4.049996739336286,52.013956,5.1767775,-0.34999673933628284,3.700000000000003,4.049996739336286,0.34999673933628284
HOUTEN36,2.9000000000000057,4.449999698085135,52.0143332,5.175888,-1.549999698085129,2.9000000000000057,4.449999698085135,1.549999698085129
HOUTEN37,1.2000000000000028,1.799995689115675,52.014823,5.175219,-0.5999956891156721,1.2000000000000028,1.799995689115675,0.5999956891156721
HOUTEN38,2.5,3.450005619781059,52.015049,5.174863,-0.9500056197810589,2.5,3.450005619781059,0.9500056197810589
HOUTEN39,1.0999999999999943,0.3999981805114139,52.015212,5.174152,0.7000018194885804,1.0999999999999943,0.3999981805114139,0.7000018194885804
HOUTEN40,0.0,0.649996797290549,52.014767,5.173091,-0.649996797290549,0.0,0.649996797290549,0.649996797290549
HOUTEN41,-0.29999999999999716,0.0,52.014729,5.173234,-0.29999999999999716,0.29999999999999716,0.0,0.29999999999999716
HOUTEN42,0.5,0.649996797290549,52.014504,5.173588,-0.14999679729054904,0.5,0.649996797290549,0.14999679729054904
HOUTEN43,-5.799999999999997,-4.850000129495379,52.011933,5.180093,-0.9499998705046178,5.799999999999997,4.850000129495379,0.9499998705046178
HOUTEN44,3.0999999999999943,3.2000070705973527,52.010898,5.181837,-0.10000707059735836,3.0999999999999943,3.2000070705973527,0.10000707059735836
HOUTEN45,-2.200000000000003,-1.2000000276350906,52.010679,5.180478,-0.9999999723649122,2.200000000000003,1.2000000276350906,0.9999999723649122
HOUTEN46,3.299999999999997,3.5000024627413997,52.011461,5.180009,-0.20000246274140254,3.299999999999997,3.5000024627413997,0.20000246274140254
HOUTEN47,2.0999999999999943,3.0000053422679867,52.011323,5.178736,-0.9000053422679923,2.0999999999999943,3.0000053422679867,0.9000053422679923
HOUTEN48,0.09999999999999432,1.749998774947179,52.010386,5.179142,-1.6499987749471847,0.09999999999999432,1.749998774947179,1.6499987749471847
HOUTEN49,0.09999999999999432,0.5999998124945367,52.010241,5.17722,-0.4999998124945424,0.09999999999999432,0.5999998124945367,0.4999998124945424
HOUTEN50,0.20000000000000284,0.9500059736275862,52.012224,5.176204,-0.7500059736275834,0.20000000000000284,0.9500059736275862,0.7500059736275834
HOUTEN51,0.09999999999999432,0.4499951394360984,52.011081,5.174702,-0.3499951394361041,0.09999999999999432,0.4499951394360984,0.3499951394361041
HOUTEN52,2.0999999999999943,3.450005619781059,52.010655,5.174969,-1.3500056197810646,2.0999999999999943,3.450005619781059,1.3500056197810646
HOUTEN53,0.9000000000000057,0.5999998124945367,52.010068,5.174349,0.300000187505469,0.9000000000000057,0.5999998124945367,0.300000187505469
HOUTEN54,-4.200000000000003,-3.24999988377919,52.009415,5.173551,-0.9500001162208127,4.200000000000003,3.24999988377919,0.9500001162208127
HOUTEN55,0.09999999999999432,0.9500059736275862,52.009901,5.175176,-0.8500059736275919,0.09999999999999432,0.9500059736275862,0.8500059736275919
HOUTEN56,2.200000000000003,3.0999992593319097,52.009885,5.176326,-0.8999992593319068,2.200000000000003,3.0999992593319097,0.8999992593319068
HOUTEN57,0.29999999999999716,1.250001612109153,52.009051,5.17551,-0.9500016121091559,0.29999999999999716,1.250001612109153,0.9500016121091559
HOUTEN58,0.5,1.5000001896018214,52.009803,5.17244,-1.0000001896018214,0.5,1.5000001896018214,1.0000001896018214
HOUTEN59,0.20000000000000284,0.9500059736275862,52.010508,5.173601,-0.7500059736275834,0.20000000000000284,0.9500059736275862,0.7500059736275834
HOUTEN60,0.20000000000000284,-0.09999999929748161,52.011156,5.173158,0.29999999929748444,0.20000000000000284,0.09999999929748161,0.29999999929748444
HOUTEN61,0.7999999999999972,1.9500003927679488,52.011744,5.172159,-1.1500003927679516,0.7999999999999972,1.9500003927679488,1.1500003927679516
HOUTEN62,-2.4000000000000057,-1.3500000727383066,52.011162,5.170205,-1.049999927261699,2.4000000000000057,1.3500000727383066,1.049999927261699
HOUTEN63,2.299999999999997,2.449997546631333,52.011139,5.168114,-0.1499975466313357,2.299999999999997,2.449997546631333,0.1499975466313357
HOUTEN64,0.29999999999999716,0.5999998124945367,52.011564,5.169515,-0.29999981249453955,0.29999999999999716,0.5999998124945367,0.29999981249453955
HOUTEN65,0.4000000000000057,1.0999969793325755,52.012077,5.168594,-0.6999969793325698,0.4000000000000057,1.0999969793325755,0.6999969793325698
HOUTEN66,0.09999999999999432,0.8499983726461268,52.013074,5.169452,-0.7499983726461324,0.09999999999999432,0.8499983726461268,0.7499983726461324
HOUTEN67,-1.0999999999999943,0.0,52.014491,5.168524,-1.0999999999999943,1.0999999999999943,0.0,1.0999999999999943
HOUTEN68,-4.400000000000006,-3.5000001192431283,52.014606,5.167545,-0.8999998807568774,4.400000000000006,3.5000001192431283,0.8999998807568774
HOUTEN69,15.799999999999997,17.199995081598196,52.014279,5.167442,-1.399995081598199,15.799999999999997,17.199995081598196,1.399995081598199
HOUTEN70,0.5,0.8499983726461268,52.013478,5.166618,-0.34999837264612677,0.5,0.8499983726461268,0.34999837264612677
HOUTEN71,-5.200000000000003,-3.999999713091089,52.014222,5.166446,-1.2000002869089137,5.200000000000003,3.999999713091089,1.2000002869089137
HOUTEN72,-6.400000000000006,-5.700000011439994,52.014532,5.166218,-0.6999999885600117,6.400000000000006,5.700000011439994,0.6999999885600117
HOUTEN73,0.7000000000000028,1.4000061986544963,52.01417,5.164687,-0.7000061986544934,0.7000000000000028,1.4000061986544963,0.7000061986544934
HOUTEN74,1.7000000000000028,2.6999960702694414,52.014616,5.164154,-0.9999960702694386,1.7000000000000028,2.6999960702694414,0.9999960702694386
HOUTEN75,1.5999999999999943,2.199998898017009,52.01624,5.164172,-0.5999988980170148,1.5999999999999943,2.199998898017009,0.5999988980170148
HOUTEN76,0.5999999999999943,1.6500047144313015,52.016079,5.165263,-1.0500047144313072,0.5999999999999943,1.6500047144313015,1.0500047144313072
HOUTEN77,0.7000000000000028,1.250001612109153,52.016569,5.166146,-0.5500016121091502,0.7000000000000028,1.250001612109153,0.5500016121091502
HOUTEN78,0.09999999999999432,0.5000058136852723,52.017036,5.163207,-0.400005813685278,0.09999999999999432,0.5000058136852723,0.400005813685278
HOUTEN79,0.9000000000000057,1.45000316573093,52.017575,5.161694,-0.5500031657309243,0.9000000000000057,1.45000316573093,0.5500031657309243
HOUTEN80,0.29999999999999716,1.2000046156621118,52.016643,5.160841,-0.9000046156621146,0.29999999999999716,1.2000046156621118,0.9000046156621146
HOUTEN81,0.7999999999999972,0.5500028135358985,52.016228,5.162689,0.24999718646409863,0.7999999999999972,0.5500028135358985,0.24999718646409863
HOUTEN82,0.0,0.4499951394360984,52.015598,5.160219,-0.4499951394360984,0.0,0.4499951394360984,0.4499951394360984
HOUTEN83,2.0,3.0999992593319097,52.015162,5.160492,-1.0999992593319097,2.0,3.0999992593319097,1.0999992593319097
HOUTEN84,0.7000000000000028,1.6000078078428268,52.014561,5.163312,-0.900007807842824,0.7000000000000028,1.6000078078428268,0.900007807842824
HOUTEN85,1.0,1.1500076262713064,52.01405,5.163219,-0.15000762627130637,1.0,1.1500076262713064,0.15000762627130637
HOUTEN86,0.29999999999999716,1.0999969793325755,52.013033,5.162353,-0.7999969793325783,0.29999999999999716,1.0999969793325755,0.7999969793325783
HOUTEN87,3.0999999999999943,3.849995123004201,52.012884,5.161604,-0.7499951230042066,3.0999999999999943,3.849995123004201,0.7499951230042066
HOUTEN88,2.5,2.8000038396706626,52.0126,5.16098,-0.3000038396706626,2.5,2.8000038396706626,0.3000038396706626
HOUTEN89,-3.0,-2.3000000203330844,52.012793,5.160334,-0.6999999796669156,3.0,2.3000000203330844,0.6999999796669156
HOUTEN90,-2.0999999999999943,-1.900000139154252,52.01276,5.16275,-0.19999986084574228,2.0999999999999943,1.900000139154252,0.19999986084574228
HOUTEN91,0.5,0.9500059736275862,52.013556,5.164007,-0.4500059736275862,0.5,0.9500059736275862,0.4500059736275862
HOUTEN92,0.20000000000000284,1.5000001896018214,52.01282,5.1656,-1.3000001896018185,0.20000000000000284,1.5000001896018214,1.3000001896018185
HOUTEN93,0.5,1.45000316573093,52.017534,5.176937,-0.95000316573093,0.5,1.45000316573093,0.95000316573093
HOUTEN94,0.5,1.3499955916707695,52.017647,5.175505,-0.8499955916707695,0.5,1.3499955916707695,0.8499955916707695
HOUTEN95,-1.0,0.25000725229747134,52.01795,5.173878,-1.2500072522974714,1.0,0.25000725229747134,1.2500072522974714
HOUTEN96,0.9000000000000057,0.3000042235950579,52.018703,5.173838,0.5999957764049477,0.9000000000000057,0.3000042235950579,0.5999957764049477
HOUTEN97,0.29999999999999716,0.649996797290549,52.019074,5.174258,-0.3499967972905519,0.29999999999999716,0.649996797290549,0.3499967972905519
HOUTEN98,0.7000000000000028,0.25000725229747134,52.019614,5.174271,0.4499927477025315,0.7000000000000028,0.25000725229747134,0.4499927477025315
HOUTEN99,0.7000000000000028,0.35000121298523507,52.01952,5.17215,0.3499987870147678,0.7000000000000028,0.35000121298523507,0.3499987870147678
HOUTEN100,0.20000000000000284,0.25000725229747134,52.019605,5.171955,-0.050007252297468496,0.20000000000000284,0.25000725229747134,0.050007252297468496
